Date,Month,FileOrigin,Description,Amount,Currency,Category
02/10/2024,2024-10,Monzo Joint October,SumUp *Nkora Limited St Albans,3.60,GBP,Shopping
02/10/2024,2024-10,Monzo Joint October,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL,6.70,GBP,Transportation
02/10/2024,2024-10,Monzo Joint October,Zettle_*Chiriac music LONDON,5.00,GBP,Shopping
03/10/2024,2024-10,Monzo Joint October,TfL Travel Charge TFL.gov.uk/CP,6.70,GBP,Transportation
03/10/2024,2024-10,Monzo Joint October,Monthly Money Pot,130.00,GBP,Nothing
03/10/2024,2024-10,Monzo Joint October,Coinbase UK London,70.00,GBP,Shopping
03/10/2024,2024-10,Monzo Joint October,Nicholas Antoniades,15.00,GBP,Pay Nicholas
03/10/2024,2024-10,Monzo Joint October,WWW.UKFINGERPRINTS.COM +447768433113,78.00,GBP,Admin
03/10/2024,2024-10,Monzo Joint October,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL,3.70,GBP,Transportation
04/10/2024,2024-10,Monzo Joint October,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL,3.00,GBP,Transportation
05/10/2024,2024-10,Monzo Joint October,Monthly Money Pot,200.00,GBP,Nothing
05/10/2024,2024-10,Monzo Joint October,G KAYE & J WALDREN T/A LONDON N8,110.00,GBP,Shopping
05/10/2024,2024-10,Monzo Joint October,FOTO PLUS LONDON N8 8,2.00,GBP,Shopping
05/10/2024,2024-10,Monzo Joint October,CHERRY LOCAL LONDON,2.50,GBP,Activities
05/10/2024,2024-10,Monzo Joint October,CHERRY LOCAL LONDON,2.50,GBP,Activities
05/10/2024,2024-10,Monzo Joint October,Zettle_*TURNING EARTH LONDON,18.00,GBP,Shopping
06/10/2024,2024-10,Monzo Joint October,SQ *JOLENE HORNSEY ROA London,4.70,GBP,Activities
06/10/2024,2024-10,Monzo Joint October,MARKS&SPENCER PLC SACA LONDON N4,5.45,GBP,Groceries
06/10/2024,2024-10,Monzo Joint October,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL,1.75,GBP,Transportation
06/10/2024,2024-10,Monzo Joint October,NYX*HiTecWashroomsSolu London,0.50,GBP,Uncategorised
06/10/2024,2024-10,Monzo Joint October,NYX*HiTecWashroomsSolu London,0.50,GBP,Uncategorised
06/10/2024,2024-10,Monzo Joint October,DELIVEROO +442036999977,13.73,GBP,Groceries
06/10/2024,2024-10,Monzo Joint October,Falafel stop Limited London,7.00,GBP,Activities
07/10/2024,2024-10,Monzo Joint October,DELIVEROO +442036999977,3.95,GBP,Groceries
07/10/2024,2024-10,Monzo Joint October,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL,5.80,GBP,Transportation
08/10/2024,2024-10,Monzo Joint October,MARKS&SPENCER PLC SF CROUCH END,8.85,GBP,Groceries
08/10/2024,2024-10,Monzo Joint October,WAITROSE LONDON,9.05,GBP,Groceries
09/10/2024,2024-10,Monzo Joint October,BOLT.EU/O/2410092058 London,9.50,GBP,Transportation
09/10/2024,2024-10,Monzo Joint October,BOLT.EU/O/2410092058 London,3.50,GBP,Transportation
10/10/2024,2024-10,Monzo Joint October,TESCO STORES 3220 SUNBURY,3.25,GBP,Groceries
10/10/2024,2024-10,Monzo Joint October,Monthly Money Pot,200.00,GBP,Nothing
10/10/2024,2024-10,Monzo Joint October,T1253000070,11.52,GBP,Shopping
10/10/2024,2024-10,Monzo Joint October,LIME*RIDE X23Q +448008085223,8.99,GBP,Transportation
10/10/2024,2024-10,Monzo Joint October,XING LONG MEN CHINATOW LONDON,36.14,GBP,Activities
10/10/2024,2024-10,Monzo Joint October,WING WING CHARING CROS LONDON WC2H,19.99,GBP,Activities
10/10/2024,2024-10,Monzo Joint October,WING WING CHARING CROS LONDON WC2H,2.75,GBP,Activities
10/10/2024,2024-10,Monzo Joint October,TfL Travel Charge TFL.gov.uk/CP,3.00,GBP,Transportation
11/10/2024,2024-10,Monzo Joint October,TfL Travel Charge TFL.gov.uk/CP,18.00,GBP,Transportation
11/10/2024,2024-10,Monzo Joint October,FAM MARKET LONDON,22.22,GBP,Groceries
